t dd no-dd
4.400000000000000000e+01 6.090986728668212891e+00 6.833806991577148438e+00
4.500000000000000000e+01 6.072444438934326172e+00 6.810095310211181641e+00
4.500000000000000000e+01 6.072444438934326172e+00 6.810095310211181641e+00
4.600000000000000000e+01 6.085333347320556641e+00 6.787122726440429688e+00
4.700000000000000000e+01 6.071883678436279297e+00 6.764659404754638672e+00
4.700000000000000000e+01 6.071883678436279297e+00 6.764659404754638672e+00
4.800000000000000000e+01 6.080986976623535156e+00 6.743327617645263672e+00
4.900000000000000000e+01 6.071312427520751953e+00 6.722435951232910156e+00
5.000000000000000000e+01 6.077595233917236328e+00 6.702107429504394531e+00
5.000000000000000000e+01 6.077595233917236328e+00 6.702107429504394531e+00
5.100000000000000000e+01 6.070532798767089844e+00 6.682128429412841797e+00
5.200000000000000000e+01 6.074948310852050781e+00 6.663037300109863281e+00
5.300000000000000000e+01 6.069795131683349609e+00 6.644762992858886719e+00
5.400000000000000000e+01 6.072866916656494141e+00 6.626861095428466797e+00
5.500000000000000000e+01 6.069106578826904297e+00 6.609333515167236328e+00
5.500000000000000000e+01 6.069106578826904297e+00 6.609333515167236328e+00
5.600000000000000000e+01 6.071197986602783203e+00 6.592216968536376953e+00
5.700000000000000000e+01 6.068376064300537109e+00 6.575784683227539062e+00
5.800000000000000000e+01 6.069867134094238281e+00 6.559806346893310547e+00
5.900000000000000000e+01 6.067766189575195312e+00 6.544142246246337891e+00
6.000000000000000000e+01 6.068756103515625000e+00 6.528769016265869141e+00
6.100000000000000000e+01 6.067167282104492188e+00 6.513608455657958984e+00
6.200000000000000000e+01 6.067851066589355469e+00 6.498746395111083984e+00
6.300000000000000000e+01 6.066661834716796875e+00 6.484174728393554688e+00
6.400000000000000000e+01 6.067101478576660156e+00 6.469886302947998047e+00
6.500000000000000000e+01 6.066193103790283203e+00 6.456357955932617188e+00
6.600000000000000000e+01 6.066486835479736328e+00 6.443091869354248047e+00
6.700000000000000000e+01 6.065804004669189453e+00 6.430098056793212891e+00
6.800000000000000000e+01 6.065951347351074219e+00 6.417292594909667969e+00
6.900000000000000000e+01 6.065450668334960938e+00 6.404753208160400391e+00
7.000000000000000000e+01 6.065519809722900391e+00 6.392526626586914062e+00
7.100000000000000000e+01 6.065130710601806641e+00 6.380514621734619141e+00
7.200000000000000000e+01 6.065165519714355469e+00 6.368734359741210938e+00
7.300000000000000000e+01 6.064854621887207031e+00 6.357862472534179688e+00
7.500000000000000000e+01 6.064619541168212891e+00 6.336769580841064453e+00
7.600000000000000000e+01 6.064600944519042969e+00 6.326579570770263672e+00
7.700000000000000000e+01 6.064400196075439453e+00 6.316576957702636719e+00
7.800000000000000000e+01 6.064388275146484375e+00 6.306758403778076172e+00
7.900000000000000000e+01 6.064228057861328125e+00 6.297086715698242188e+00
8.100000000000000000e+01 6.064075469970703125e+00 6.278344154357910156e+00
8.200000000000000000e+01 6.064037322998046875e+00 6.269261360168457031e+00
8.300000000000000000e+01 6.063931465148925781e+00 6.260341167449951172e+00
8.400000000000000000e+01 6.063905715942382812e+00 6.251630783081054688e+00
8.600000000000000000e+01 6.063786506652832031e+00 6.234607696533203125e+00
8.700000000000000000e+01 6.063716888427734375e+00 6.226375579833984375e+00
8.900000000000000000e+01 6.063628673553466797e+00 6.210266113281250000e+00
9.000000000000000000e+01 6.063601493835449219e+00 6.202453613281250000e+00
9.100000000000000000e+01 6.063549041748046875e+00 6.194841861724853516e+00
